                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5716,                 4.3108,                 4.0975,                0.00305,                 0.2857,                0.01006,                0.00285,                 3.4937,                    inf,                 4.2085,             0.00029739,             0.00029739,             0.00029739
                      2,                 2.7951,                 3.2973,                 3.1589,                0.00359,                0.26742,                0.00787,                0.00267,                 3.5717,                    inf,                 4.3601,             0.00059445,             0.00059445,             0.00059445
                      3,                 2.1061,                 2.7681,                 2.3793,                 0.1137,                0.09442,                0.04766,                0.02159,                 2.1402,                    inf,                 2.2919,              0.0008855,              0.0008855,              0.0008855
                      4,                 1.8339,                 2.5024,                 2.0714,                0.16165,                0.15332,                0.07697,                0.04047,                  1.899,                    inf,                 2.0054,               0.000882,               0.000882,               0.000882
                      5,                 1.6917,                 2.3201,                 1.8988,                 0.2102,                0.24482,                0.13352,                0.07587,                 1.7309,                 2.0333,                 1.7946,               0.000882,               0.000882,               0.000882
                      6,                 1.5939,                 2.1939,                 1.7863,                0.23812,                 0.2579,                0.15813,                0.09429,                 1.6232,                    inf,                 1.6828,               0.000873,               0.000873,               0.000873
                      7,                 1.5283,                  2.104,                 1.7156,                0.25046,                0.28539,                0.18216,                0.11095,                 1.5623,                 1.7839,                 1.6204,               0.000864,               0.000864,               0.000864
                      8,                 1.4786,                 2.0244,                 1.6642,                 0.2615,                0.30853,                0.20531,                0.12616,                 1.5368,                    inf,                 1.5788,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.4425,                 1.9675,                 1.6253,                0.29446,                0.31027,                0.23123,                0.14367,                 1.5028,                 1.6963,                 1.5625,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.4046,                 1.9233,                 1.5942,                0.31211,                0.32727,                0.25672,                0.16785,                 1.4878,                  1.644,                 1.5399,             0.00083701,             0.00083701,             0.00083701
                     11,                  1.381,                 1.8833,                 1.5722,                0.38159,                0.33599,                0.29228,                0.19025,                 1.4463,                 1.5606,                 1.4992,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.3529,                 1.8374,                 1.5469,                 0.4191,                0.35825,                 0.3147,                0.20553,                 1.4271,                  1.517,                 1.4936,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.3329,                  1.808,                  1.527,                0.45195,                0.38349,                0.34284,                0.22759,                 1.4002,                 1.4761,                 1.4544,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.3161,                 1.7727,                 1.5094,                0.39595,                0.33476,                0.29183,                0.18437,                 1.3981,                 1.5442,                 1.4527,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.3009,                  1.748,                 1.4944,                0.48736,                0.37216,                0.35903,                 0.2404,                 1.3619,                 1.4372,                 1.4202,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.2862,                 1.7197,                 1.4826,                0.46531,                0.38427,                0.36269,                 0.2464,                 1.3763,                 1.4189,                 1.4387,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.2696,                  1.693,                 1.4646,                0.51221,                0.39556,                0.39753,                0.27377,                 1.3423,                 1.3877,                 1.3982,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.2577,                 1.6673,                 1.4532,                0.55331,                0.42444,                0.43181,                0.29648,                 1.3208,                  1.335,                 1.3777,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.2413,                 1.6474,                 1.4417,                0.50585,                0.41318,                0.40541,                0.27961,                  1.334,                 1.3837,                 1.3939,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.2379,                 1.6268,                 1.4347,                0.56035,                0.42162,                0.44623,                 0.3092,                 1.3267,                 1.3216,                 1.3798,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.2323,                 1.6133,                 1.4286,                0.53937,                0.42525,                 0.4389,                0.30132,                 1.3057,                 1.3676,                 1.3668,             0.00073802,             0.00073802,             0.00073802
                     22,                 1.2194,                 1.5997,                 1.4199,                0.54965,                0.44017,                0.45154,                0.31454,                 1.3003,                 1.3046,                 1.3704,             0.00072902,             0.00072902,             0.00072902
                     23,                 1.2112,                 1.5794,                  1.412,                0.52437,                0.42488,                0.42914,                0.29484,                 1.2924,                 1.3112,                 1.3545,             0.00072002,             0.00072002,             0.00072002
                     24,                 1.2072,                  1.571,                 1.4048,                0.60257,                0.44913,                 0.4879,                0.34321,                 1.2703,                 1.2393,                 1.3463,             0.00071102,             0.00071102,             0.00071102
                     25,                 1.1974,                 1.5487,                  1.397,                 0.5981,                0.45316,                0.48629,                0.33885,                 1.2886,                 1.2526,                 1.3428,             0.00070202,             0.00070202,             0.00070202
                     26,                 1.1868,                 1.5333,                 1.3901,                0.58837,                0.46382,                0.49014,                0.34593,                 1.2621,                 1.2605,                 1.3255,             0.00069302,             0.00069302,             0.00069302
                     27,                 1.1879,                 1.5281,                 1.3893,                0.61825,                0.45264,                0.49324,                0.35118,                 1.2491,                 1.2206,                 1.3223,             0.00068402,             0.00068402,             0.00068402
                     28,                 1.1798,                 1.5128,                 1.3828,                0.62014,                0.45165,                0.50649,                0.35673,                 1.2552,                 1.2245,                 1.3205,             0.00067502,             0.00067502,             0.00067502
                     29,                 1.1677,                 1.4933,                 1.3726,                0.61984,                0.45984,                0.50303,                0.35451,                 1.2374,                 1.2015,                 1.3111,             0.00066602,             0.00066602,             0.00066602
                     30,                 1.1663,                 1.4858,                 1.3686,                0.60096,                0.46737,                0.50457,                0.35849,                  1.236,                 1.1959,                 1.3119,             0.00065703,             0.00065703,             0.00065703
                     31,                 1.1601,                 1.4747,                 1.3629,                0.61443,                0.47432,                0.50835,                0.36407,                 1.2318,                 1.1842,                 1.3052,             0.00064803,             0.00064803,             0.00064803
                     32,                 1.1619,                 1.4679,                 1.3624,                0.61854,                0.48148,                0.51194,                0.36358,                 1.2384,                 1.1857,                 1.3054,             0.00063903,             0.00063903,             0.00063903
                     33,                 1.1518,                  1.454,                 1.3533,                0.61762,                0.48772,                 0.5295,                0.37974,                 1.2252,                 1.1773,                 1.2937,             0.00063003,             0.00063003,             0.00063003
                     34,                 1.1455,                 1.4549,                 1.3519,                0.61241,                0.47593,                0.50378,                0.35861,                 1.2252,                  1.187,                 1.2945,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.1446,                 1.4394,                 1.3483,                0.63638,                0.48158,                0.52744,                0.37846,                 1.2178,                  1.154,                 1.2843,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.1375,                  1.429,                 1.3428,                0.63977,                0.50094,                0.53985,                0.38913,                 1.2188,                 1.1453,                  1.286,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.1325,                 1.4237,                 1.3378,                0.62961,                0.48528,                0.53197,                0.38287,                 1.2177,                 1.1377,                 1.2777,             0.00059403,             0.00059403,             0.00059403
                     38,                  1.128,                 1.4176,                 1.3362,                0.64526,                0.49388,                0.53274,                0.38379,                 1.2051,                 1.1361,                 1.2737,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.1242,                 1.4053,                 1.3321,                0.62844,                 0.4879,                0.52204,                 0.3756,                  1.205,                 1.1514,                 1.2761,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.1299,                 1.4079,                 1.3324,                0.66233,                0.49943,                0.55543,                0.40271,                 1.1996,                 1.1012,                 1.2708,             0.00056703,             0.00056703,             0.00056703
                     41,                  1.121,                 1.3928,                 1.3271,                0.63301,                0.50953,                0.55158,                0.39716,                 1.1971,                 1.1136,                 1.2663,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.1161,                  1.386,                 1.3222,                0.64441,                0.50658,                0.55049,                0.39858,                 1.1907,                  1.104,                 1.2635,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.1144,                 1.3758,                 1.3194,                0.63823,                0.50639,                0.54461,                0.39374,                 1.1989,                 1.1267,                  1.262,             0.00054004,             0.00054004,             0.00054004
