                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63604,                0.60919,                 1.0221,                0.70361,                0.45043,                0.53813,                0.44053,                0.66053,                0.61608,                0.94248,             0.00029706,             0.00029706,             0.00029706
                     37,                0.63877,                0.60731,                 1.0225,                0.69161,                0.44523,                0.53436,                0.43402,                0.66047,                0.62821,                0.94467,             0.00027906,             0.00027906,             0.00027906
                     38,                0.63146,                0.60466,                 1.0212,                0.72137,                0.48627,                 0.5917,                0.48848,                0.65322,                0.61019,                 0.9446,             0.00026106,             0.00026106,             0.00026106
                     39,                0.62819,                0.59535,                 1.0181,                0.61881,                0.53217,                0.57417,                0.47037,                  0.651,                0.61753,                0.93693,             0.00024307,             0.00024307,             0.00024307
                     40,                0.63201,                0.59988,                 1.0184,                0.56431,                0.54279,                0.56143,                0.45564,                0.65886,                0.62303,                0.94411,             0.00022507,             0.00022507,             0.00022507
                     41,                0.61335,                0.58813,                0.97906,                0.64907,                0.49106,                0.56027,                  0.458,                0.66967,                0.62762,                0.95235,             0.00020707,             0.00020707,             0.00020707
                     42,                0.59727,                 0.5387,                0.97041,                0.61951,                0.56116,                0.57689,                0.47594,                0.65915,                0.62199,                0.94146,             0.00018907,             0.00018907,             0.00018907
                     43,                0.59447,                0.53016,                0.96937,                0.56261,                0.53568,                0.55387,                0.44989,                0.65278,                0.61931,                0.94002,             0.00017107,             0.00017107,             0.00017107
                     44,                0.59262,                0.52137,                0.96651,                0.67864,                 0.5118,                0.58444,                0.48304,                0.65092,                0.60836,                0.93871,             0.00015308,             0.00015308,             0.00015308
                     45,                0.58482,                0.51666,                0.96503,                0.62136,                0.53565,                 0.5715,                0.46676,                0.65545,                0.61344,                0.94158,             0.00013508,             0.00013508,             0.00013508
                     46,                0.57959,                0.50683,                0.95934,                0.63537,                 0.5453,                 0.5855,                0.46839,                0.66073,                0.61518,                0.94982,             0.00011708,             0.00011708,             0.00011708
                     47,                0.57289,                0.49731,                0.95845,                0.66364,                0.54345,                0.58646,                0.47994,                0.64603,                 0.5977,                0.93733,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.57265,                  0.494,                0.95739,                0.62271,                0.54855,                0.59298,                0.48676,                0.64508,                0.59664,                0.93786,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.56792,                0.48119,                0.95632,                0.66253,                0.56791,                0.59569,                0.48799,                0.64941,                0.60281,                 0.9369,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.56603,                 0.4859,                0.95358,                0.67729,                0.54875,                0.59436,                0.49268,                0.64645,                0.59709,                0.93608,             4.5086e-05,             4.5086e-05,             4.5086e-05
