                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0289,                 1.3733,                  1.406,                0.59408,                0.47915,                0.50092,                0.36536,                 1.0345,                 1.0566,                 1.3158,             0.00049761,             0.00049761,             0.00049761
                     35,                 1.0221,                 1.3571,                 1.3993,                 0.5987,                0.48222,                0.49445,                0.35631,                 1.0416,                  1.059,                 1.3356,             0.00048476,             0.00048476,             0.00048476
                     36,                  1.015,                 1.3455,                 1.3929,                0.59755,                0.48214,                0.50479,                0.36605,                 1.0408,                 1.0701,                 1.3304,              0.0004719,              0.0004719,              0.0004719
                     37,                 1.0132,                 1.3403,                  1.392,                0.57545,                0.51252,                0.52076,                0.38337,                 1.0276,                 1.0343,                 1.3168,             0.00045904,             0.00045904,             0.00045904
                     38,                 1.0084,                 1.3272,                 1.3871,                 0.5818,                0.49139,                0.50497,                0.37512,                 1.0189,                 1.0533,                 1.3186,             0.00044619,             0.00044619,             0.00044619
                     39,                 1.0057,                 1.3244,                 1.3841,                0.63608,                0.49842,                0.53255,                0.39342,                 1.0267,                 1.0251,                 1.3231,             0.00043333,             0.00043333,             0.00043333
                     40,                 1.0051,                 1.3223,                 1.3807,                0.59969,                0.52101,                0.54079,                0.39286,                  1.033,                 1.0265,                 1.3082,             0.00042048,             0.00042048,             0.00042048
                     41,                0.99518,                 1.3064,                 1.3737,                0.67135,                 0.4532,                0.51013,                0.36742,                 1.0209,                 1.0517,                 1.2975,             0.00040762,             0.00040762,             0.00040762
                     42,                0.99224,                 1.2985,                 1.3728,                0.63482,                0.51113,                0.54248,                0.39236,                 1.0338,                 1.0109,                 1.3216,             0.00039477,             0.00039477,             0.00039477
                     43,                0.99002,                  1.294,                 1.3673,                 0.6633,                0.50983,                0.56027,                0.41084,                 1.0197,                0.99043,                 1.2992,             0.00038191,             0.00038191,             0.00038191
                     44,                0.98898,                  1.293,                   1.37,                0.64671,                0.51859,                0.55798,                0.41299,                 1.0056,                0.98444,                 1.2945,             0.00036905,             0.00036905,             0.00036905
                     45,                 0.9892,                 1.2844,                 1.3644,                0.65918,                0.54008,                0.57716,                0.42606,                 1.0007,                 0.9685,                 1.2799,              0.0003562,              0.0003562,              0.0003562
                     46,                0.98403,                 1.2822,                 1.3608,                0.66201,                0.52496,                0.56405,                0.41411,                 1.0025,                0.97974,                  1.281,             0.00034334,             0.00034334,             0.00034334
                     47,                0.97642,                 1.2696,                  1.355,                0.70433,                0.50435,                0.57319,                0.42511,                0.99713,                 0.9757,                 1.2791,             0.00033049,             0.00033049,             0.00033049
                     48,                 0.9723,                 1.2653,                 1.3544,                0.61202,                 0.5334,                0.55293,                0.41085,                  1.008,                0.99308,                 1.2829,             0.00031763,             0.00031763,             0.00031763
                     49,                0.97024,                 1.2657,                 1.3513,                0.63951,                0.52222,                0.56339,                0.41766,                 1.0088,                0.98291,                 1.2825,             0.00030477,             0.00030477,             0.00030477
                     50,                0.96564,                 1.2524,                 1.3478,                0.64416,                 0.5506,                 0.5771,                0.42878,                0.99422,                0.95396,                 1.2837,             0.00029192,             0.00029192,             0.00029192
                     51,                0.96583,                  1.242,                 1.3463,                0.68987,                0.53807,                0.58315,                0.43562,                0.99414,                0.96049,                 1.2772,             0.00027906,             0.00027906,             0.00027906
                     52,                0.96219,                 1.2455,                 1.3448,                0.66965,                0.53756,                0.58304,                0.43629,                0.99339,                0.96016,                 1.2813,             0.00026621,             0.00026621,             0.00026621
                     53,                0.96246,                 1.2372,                 1.3438,                0.68254,                 0.5352,                0.58551,                0.43632,                0.98898,                0.94214,                 1.2775,             0.00025335,             0.00025335,             0.00025335
                     54,                0.95788,                 1.2273,                 1.3376,                0.69371,                0.53448,                0.59191,                0.44377,                0.97946,                0.94036,                 1.2677,              0.0002405,              0.0002405,              0.0002405
                     55,                0.95423,                 1.2337,                 1.3356,                0.67148,                 0.5341,                0.57824,                  0.429,                 0.9846,                0.94709,                 1.2599,             0.00022764,             0.00022764,             0.00022764
                     56,                0.95247,                 1.2241,                 1.3346,                0.70756,                0.52838,                 0.5905,                0.44065,                0.98393,                0.94663,                 1.2568,             0.00021478,             0.00021478,             0.00021478
                     57,                0.95033,                 1.2148,                 1.3326,                0.69157,                0.54935,                0.59745,                0.44478,                0.97913,                0.93706,                 1.2571,             0.00020193,             0.00020193,             0.00020193
                     58,                0.94982,                 1.2129,                 1.3307,                 0.6787,                0.53675,                0.59399,                0.44353,                0.97618,                0.92707,                  1.262,             0.00018907,             0.00018907,             0.00018907
                     59,                0.94867,                 1.2129,                 1.3288,                0.71511,                0.52408,                0.58973,                0.43984,                0.98044,                0.94037,                 1.2571,             0.00017622,             0.00017622,             0.00017622
                     60,                0.94494,                 1.2041,                  1.329,                0.69437,                 0.5338,                0.58515,                0.43658,                0.97404,                0.93619,                 1.2534,             0.00016336,             0.00016336,             0.00016336
                     61,                 0.9349,                 1.1894,                  1.295,                0.70847,                0.53231,                0.59605,                 0.4422,                 1.0087,                0.96031,                 1.2682,              0.0001505,              0.0001505,              0.0001505
                     62,                0.90726,                 1.1273,                 1.2729,                0.67888,                0.52938,                0.58458,                0.43729,                0.97981,                0.94712,                  1.254,             0.00013765,             0.00013765,             0.00013765
                     63,                0.90036,                 1.1156,                 1.2676,                0.67444,                0.55091,                0.59153,                0.44171,                0.97433,                0.94041,                 1.2584,             0.00012479,             0.00012479,             0.00012479
                     64,                0.89659,                 1.1071,                 1.2658,                0.67424,                 0.5299,                 0.5906,                0.44416,                0.96416,                0.94895,                 1.2456,             0.00011194,             0.00011194,             0.00011194
                     65,                0.88889,                 1.0982,                 1.2592,                0.71474,                0.53707,                0.60295,                0.45021,                0.97213,                0.93431,                  1.241,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     66,                0.88776,                 1.0882,                 1.2585,                0.72381,                0.53108,                0.60776,                0.45376,                0.96684,                 0.9193,                 1.2463,             8.6225e-05,             8.6225e-05,             8.6225e-05
                     67,                0.88599,                 1.0757,                 1.2547,                0.69606,                0.53949,                0.59907,                0.44817,                0.96379,                0.92243,                 1.2405,             7.3369e-05,             7.3369e-05,             7.3369e-05
                     68,                0.88166,                 1.0794,                  1.252,                0.71279,                 0.5509,                0.61484,                0.46194,                0.95891,                 0.9137,                 1.2377,             6.0513e-05,             6.0513e-05,             6.0513e-05
                     69,                0.88059,                 1.0683,                 1.2492,                0.71515,                 0.5372,                0.60834,                 0.4578,                0.95937,                 0.9142,                 1.2327,             4.7658e-05,             4.7658e-05,             4.7658e-05
                     70,                 0.8794,                 1.0677,                 1.2502,                0.71913,                0.54214,                0.61541,                0.46311,                 0.9582,                0.90512,                 1.2349,             3.4802e-05,             3.4802e-05,             3.4802e-05
